"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1961",4.528557,
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.684382,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.134142,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.346528,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.368672,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.673514,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.906704,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.851651,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.513838,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.87656,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.654858,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.441875,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.038306,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.006162,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.386834,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.822762,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.595505,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.361957,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.828584,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.285182,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.198893,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.065462,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.748261,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.720448,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.826282,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.816692,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.464491,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.489953,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.806272,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.083412,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.263675,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.185929,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.375349,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",2.894688,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.410058,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.075394,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.513738,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.876572,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.356583,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.134318,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.332963,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.688691,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.091111,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.33189,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.832655,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.09731,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.642689,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.247374,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.471615,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",2.995383,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.015468,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.338339,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.481458,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.058611,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.364961,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.78832,
"EST","QGDP","TOT","PC_CHGPP","A","1996",5.323845,
"EST","QGDP","TOT","PC_CHGPP","A","1997",11.798618,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.117259,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.856447,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.568073,
"EST","QGDP","TOT","PC_CHGPP","A","2001",6.328712,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.076393,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.416163,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.294748,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.373711,
"EST","QGDP","TOT","PC_CHGPP","A","2006",10.271884,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.748192,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.419456,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.724404,
