Series Id,Year,Period,Value
CUSR0000SA0,2007,M01,203.437
CUSR0000SA0,2007,M02,204.226
CUSR0000SA0,2007,M03,205.288
CUSR0000SA0,2007,M04,205.904
CUSR0000SA0,2007,M05,206.755
CUSR0000SA0,2007,M06,207.234
CUSR0000SA0,2007,M07,207.603
CUSR0000SA0,2007,M08,207.667
CUSR0000SA0,2007,M09,208.547
CUSR0000SA0,2007,M10,209.190
CUSR0000SA0,2007,M11,210.834
CUSR0000SA0,2007,M12,211.445
CUSR0000SA0,2008,M01,212.174
CUSR0000SA0,2008,M02,212.687
CUSR0000SA0,2008,M03,213.448
CUSR0000SA0,2008,M04,213.942
CUSR0000SA0,2008,M05,215.208
CUSR0000SA0,2008,M06,217.463
CUSR0000SA0,2008,M07,219.016
CUSR0000SA0,2008,M08,218.690
CUSR0000SA0,2008,M09,218.877
CUSR0000SA0,2008,M10,216.995
CUSR0000SA0,2008,M11,213.153
CUSR0000SA0,2008,M12,211.398
CUSR0000SA0,2009,M01,211.933
CUSR0000SA0,2009,M02,212.705
CUSR0000SA0,2009,M03,212.495
CUSR0000SA0,2009,M04,212.709
CUSR0000SA0,2009,M05,213.022
CUSR0000SA0,2009,M06,214.790
CUSR0000SA0,2009,M07,214.726
CUSR0000SA0,2009,M08,215.445
CUSR0000SA0,2009,M09,215.861
CUSR0000SA0,2009,M10,216.509
CUSR0000SA0,2009,M11,217.234
CUSR0000SA0,2009,M12,217.347
CUSR0000SA0,2010,M01,217.488
CUSR0000SA0,2010,M02,217.281
CUSR0000SA0,2010,M03,217.353
CUSR0000SA0,2010,M04,217.403
CUSR0000SA0,2010,M05,217.290
CUSR0000SA0,2010,M06,217.199
CUSR0000SA0,2010,M07,217.605
CUSR0000SA0,2010,M08,217.923
CUSR0000SA0,2010,M09,218.275
CUSR0000SA0,2010,M10,219.035
CUSR0000SA0,2010,M11,219.590
CUSR0000SA0,2010,M12,220.472
CUSR0000SA0,2011,M01,221.187
CUSR0000SA0,2011,M02,221.898
CUSR0000SA0,2011,M03,223.046
CUSR0000SA0,2011,M04,224.093
CUSR0000SA0,2011,M05,224.806
CUSR0000SA0,2011,M06,224.806
CUSR0000SA0,2011,M07,225.395
CUSR0000SA0,2011,M08,226.106
CUSR0000SA0,2011,M09,226.597
CUSR0000SA0,2011,M10,226.750
CUSR0000SA0,2011,M11,227.169
CUSR0000SA0,2011,M12,227.223
CUSR0000SA0,2012,M01,227.842
CUSR0000SA0,2012,M02,228.329
CUSR0000SA0,2012,M03,228.807
CUSR0000SA0,2012,M04,229.187
CUSR0000SA0,2012,M05,228.713
CUSR0000SA0,2012,M06,228.524
CUSR0000SA0,2012,M07,228.590
CUSR0000SA0,2012,M08,229.918
CUSR0000SA0,2012,M09,231.015
CUSR0000SA0,2012,M10,231.638
CUSR0000SA0,2012,M11,231.249
CUSR0000SA0,2012,M12,231.221
CUSR0000SA0,2013,M01,231.612
CUSR0000SA0,2013,M02,232.985
CUSR0000SA0,2013,M03,232.299
CUSR0000SA0,2013,M04,231.795
CUSR0000SA0,2013,M05,231.916
CUSR0000SA0,2013,M06,232.374
CUSR0000SA0,2013,M07,232.889
CUSR0000SA0,2013,M08,233.323
CUSR0000SA0,2013,M09,233.632
CUSR0000SA0,2013,M10,233.718
CUSR0000SA0,2013,M11,234.121
CUSR0000SA0,2013,M12,234.723
CUSR0000SA0,2014,M01,235.385
CUSR0000SA0,2014,M02,235.672
CUSR0000SA0,2014,M03,235.978
CUSR0000SA0,2014,M04,236.471
CUSR0000SA0,2014,M05,236.832
CUSR0000SA0,2014,M06,237.029
CUSR0000SA0,2014,M07,237.424
CUSR0000SA0,2014,M08,237.256
CUSR0000SA0,2014,M09,237.486
CUSR0000SA0,2014,M10,237.506
CUSR0000SA0,2014,M11,237.118
CUSR0000SA0,2014,M12,236.290
CUSR0000SA0,2015,M01,234.913
CUSR0000SA0,2015,M02,235.489
CUSR0000SA0,2015,M03,235.989
CUSR0000SA0,2015,M04,236.201
CUSR0000SA0,2015,M05,236.891
CUSR0000SA0,2015,M06,237.419
CUSR0000SA0,2015,M07,237.876
CUSR0000SA0,2015,M08,237.811
CUSR0000SA0,2015,M09,237.467
CUSR0000SA0,2015,M10,237.792
CUSR0000SA0,2015,M11,238.153
CUSR0000SA0,2015,M12,237.846
CUSR0000SA0,2016,M01,238.106
CUSR0000SA0,2016,M02,237.808
CUSR0000SA0,2016,M03,238.078
CUSR0000SA0,2016,M04,238.908
CUSR0000SA0,2016,M05,239.362
CUSR0000SA0,2016,M06,239.842
CUSR0000SA0,2016,M07,239.898
CUSR0000SA0,2016,M08,240.389
CUSR0000SA0,2016,M09,241.006
CUSR0000SA0,2016,M10,241.694
CUSR0000SA0,2016,M11,242.199
CUSR0000SA0,2016,M12,242.821
CUSR0000SA0,2017,M01,244.158
CUSR0000SA0,2017,M02,244.456
CUSR0000SA0,2017,M03,243.752
CUSR0000SA0,2017,M04,244.158
